# tested on Ubuntu 16.10 sv_SE
#SK	SCK	uint[] (csv)
f12	ctrl	27,91,50,52,59,53,126
f13	ctrl	-
f14	ctrl	-
f15	ctrl	-
f16	ctrl	-
f17	ctrl	-
f18	ctrl	-
f19	ctrl	-
f20	ctrl	-
f21	ctrl	-
f22	ctrl	-
f23	ctrl	-
f24	ctrl	-
oem_1	ctrl	-
oem_2	ctrl	-
oem_3	ctrl	-
oem_4	ctrl	-
oem_5	ctrl	-
oem_6	ctrl	-
oem_7	ctrl	-
oem_8	ctrl	-
oem_102	ctrl	-
a	alt	27,97
b	alt	27,98
c	alt	27,99
d	alt	27,100
e	alt	27,101
f	alt	27,102
g	alt	27,103
h	alt	27,104
i	alt	27,105
j	alt	27,106
k	alt	27,107
l	alt	27,108
m	alt	27,109
n	alt	27,110
o	alt	27,111
p	alt	27,112
q	alt	27,113
r	alt	27,114
s	alt	27,115
t	alt	27,116
u	alt	27,117
v	alt	27,118
w	alt	27,119
x	alt	27,120
y	alt	27,121
z	alt	27,122
tab	alt	-
page_up	alt	27,91,53,59,51,126
page_down	alt	27,91,54,59,51,126
end	alt	27,91,49,59,51,70
home	alt	27,91,49,59,51,72
left	alt	27,91,49,59,51,68
up	alt	27,91,49,59,51,65
right	alt	27,91,49,59,51,67
down	alt	27,91,49,59,51,66
key_0	alt	27,48
key_1	alt	27,49
key_2	alt	27,50
key_3	alt	27,51
key_4	alt	27,52
key_5	alt	27,53
key_6	alt	27,54
key_7	alt	27,55
key_8	alt	27,56
key_9	alt	27,57
numpad_0	alt	-
numpad_1	alt	-
numpad_2	alt	-
numpad_3	alt	-
numpad_4	alt	-
numpad_5	alt	-
numpad_6	alt	-
numpad_7	alt	-
numpad_8	alt	-
numpad_9	alt	-
plus	alt	-
minus	alt	-
period	alt	27,46
comma	alt	27,44
asterisk	alt	-
divide	alt	-
f1	alt	-
f2	alt	-
f3	alt	-
f4	alt	39
f5	alt	27,91,49,53,59,51,126
f6	alt	27,91,49,55,59,51,126
f7	alt	-
f8	alt	-
f9	alt	27,91,50,48,59,51,126
f10	alt	-
f11	alt	27,91,50,51,59,51,126
f12	alt	27,91,50,52,59,51,126
f13	alt	-
f14	alt	-
f15	alt	-
f16	alt	-
f17	alt	-
f18	alt	-
f19	alt	-
f20	alt	-
f21	alt	-
f22	alt	-
f23	alt	-
f24	alt	-
oem_1	alt	27,195,165
oem_2	alt	27,195,164
oem_3	alt	27,195,182
oem_4	alt	-
oem_5	alt	-
oem_6	alt	-
oem_7	alt	-
oem_8	alt	-
oem_102	alt	-
escape	none	27
del	none	127
enter	none	13
space	none	32
space	ctrl	0
space	alt	194,160
