# tested on macOS Sierra v10.12.5, sv_SE, MacBook Pro (15-inch, Mid 2012)
#SK	SCK	uint[] (csv)
i	alt	196,177
j	alt	226,136,154
k	alt	194,170
l	alt	239,172,129
m	alt	226,128,153
n	alt	226,128,152
o	alt	197,147
p	alt	207,128
q	alt	226,128,162
r	alt	194,174
s	alt	195,159
t	alt	226,128,160
u	alt	195,188
v	alt	226,128,185
w	alt	206,169
x	alt	226,137,136
y	alt	194,181
z	alt	195,183
tab	alt	-
page_up	alt	-
page_down	alt	-
end	alt	-
home	alt	-
left	alt	27,98
up	alt	-
right	alt	27,102
down	alt	-
key_0	alt	226,137,136
key_1	alt	194,169
key_2	alt	64
key_3	alt	194,163
key_4	alt	36
key_5	alt	226,136,158
key_6	alt	194,167
key_7	alt	124
key_8	alt	91
key_9	alt	93
numpad_0	alt	-
numpad_1	alt	-
numpad_2	alt	-
numpad_3	alt	-
numpad_4	alt	-
numpad_5	alt	-
numpad_6	alt	-
numpad_7	alt	-
numpad_8	alt	-
numpad_9	alt	-
plus	alt	-
minus	alt	-
period	alt	226,128,166
comma	alt	226,128,154
asterisk	alt	-
divide	alt	-
f1	alt	27,91,49,55,126
f2	alt	27,91,49,56,126
f3	alt	27,91,49,57,126
f4	alt	27,91,50,48,126
f5	alt	27,91,50,49,126
f6	alt	27,91,50,51,126
f7	alt	27,91,50,52,126
f8	alt	27,91,50,53,126
f9	alt	27,91,50,54,126
f10	alt	27,91,50,56,126
f11	alt	27,91,50,57,126
f12	alt	27,91,51,49,126
f13	alt	-
f14	alt	-
f15	alt	-
f16	alt	-
f17	alt	-
f18	alt	-
f19	alt	-
f20	alt	-
f21	alt	-
f22	alt	-
f23	alt	-
f24	alt	-
oem_1	alt	203,153
oem_2	alt	-
oem_3	alt	-
oem_4	alt	-
oem_5	alt	-
oem_6	alt	-
oem_7	alt	-
oem_8	alt	-
oem_102	alt	-
escape	none	27
del	none	127
enter	none	13
space	none	32
space	ctrl	0
space	alt	194,160
